"","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0071216","BP","GO:0071216","cellular response to biotic stimulus","24/210","340/28943",6.54295340470673e-17,9.72937171279891e-15,6.37765773974572e-15,"Ccl5/Il1b/Stat1/Acod1/Jak2/Cd274/Klrk1/Lyn/Stap1/Cxcl10/Gbp2/Tnip1/Nos2/Trim30d/Tnf/Irak2/Cmpk2/Nlrp3/Cd14/Malt1/Cd86/Cxcl2/Cxcl9/Ccl12",24
"GO:0002819","BP","GO:0002819","regulation of adaptive immune response","21/210","239/28943",7.57730671242324e-17,1.06700424712109e-14,6.99427269907002e-15,"C3/Fcer1g/Il1b/Ptprc/Irf7/Fcgr1/Jak2/Cd274/H2-Q4/H2-Q7/Rsad2/H2-T22/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Samsn1/Malt1/Cd74",21
"GO:0002824","BP","GO:0002824","positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","18/210","154/28943",8.24365053098725e-17,1.06700424712109e-14,6.99427269907002e-15,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/Jak2/Cd274/H2-Q4/H2-Q7/Rsad2/H2-T22/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Malt1",18
"GO:0045088","BP","GO:0045088","regulation of innate immune response","21/210","240/28943",8.25188220705615e-17,1.06700424712109e-14,6.99427269907002e-15,"Isg15/C3/Irf7/Acod1/Ifi209/Zbp1/Irak3/Klrk1/Ifi214/Ifi205/Parp14/Ifi204/Ifi211/Hmgb2/N4bp1/Nmi/Oas3/Gbp5/Trim30d/Mndal/Cd74",21
"GO:0002697","BP","GO:0002697","regulation of immune effector process","27/210","464/28943",8.72767465244011e-17,1.08150435068154e-14,7.08932169136802e-15,"C3/Fcer1g/Il1b/Ptprc/Bst2/Fcgr1/Cfb/H2-Q4/H2-Q7/Irak3/Klrk1/Lyn/Stap1/Rsad2/H2-T22/Rigi/Fgl2/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Rac2/Nlrp3/Malt1/Cd86/Cd74",27
"GO:0002705","BP","GO:0002705","positive regulation of leukocyte mediated immunity","19/210","185/28943",1.29489952499664e-16,1.540412474936e-14,1.00974901907106e-14,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/H2-Q4/H2-Q7/Klrk1/Stap1/Rsad2/H2-T22/Rigi/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Malt1",19
"GO:0071346","BP","GO:0071346","cellular response to interferon-gamma","16/210","112/28943",1.70784291346404e-16,1.95350954793926e-14,1.28053646790907e-14,"Ccl5/Stat1/Acod1/Jak2/H2-Q7/Gbp2/Parp14/Gbp4/Nmi/Gbp2b/Nos2/Gbp5/Ccl3/Gbp3/Ccl4/Ccl12",16
"GO:0007159","BP","GO:0007159","leukocyte cell-cell adhesion","25/210","411/28943",4.65731654570438e-16,5.12994792849067e-14,3.36270964625517e-14,"Ccl5/Aif1/Il1b/Ptprc/Ass1/Slfn1/Sema4d/Sell/Sirpb1c/Jak2/Cd274/Itgal/Sirpb1a/Tnip1/Gm5150/Fgl2/Tnf/Pnp/Rac2/Nlrp3/Thbs1/Malt1/Cd86/Cd74/Il15",25
"GO:0002703","BP","GO:0002703","regulation of leukocyte mediated immunity","22/210","303/28943",7.61701090772464e-16,8.09035372841895e-14,5.3032722560549e-14,"C3/Fcer1g/Il1b/Ptprc/Bst2/Fcgr1/H2-Q4/H2-Q7/Klrk1/Lyn/Stap1/Rsad2/H2-T22/Rigi/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Rac2/Nlrp3/Malt1",22
"GO:0050792","BP","GO:0050792","regulation of viral process","18/210","175/28943",8.19528746050095e-16,8.40440858880338e-14,5.50913697889211e-14,"Isg15/Ccl5/Ifitm3/Bst2/Stat1/Isg20/Ifih1/Ly6e/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Trim30d/Tnf/Resf1/Cd74",18
"GO:1903900","BP","GO:1903900","regulation of viral life cycle","17/210","151/28943",1.15271424478927e-15,1.14272405466776e-13,7.49062028543764e-14,"Isg15/Ccl5/Ifitm3/Bst2/Isg20/Ifih1/Ly6e/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Trim30d/Tnf/Resf1/Cd74",17
"GO:0019882","BP","GO:0019882","antigen processing and presentation","16/210","128/28943",1.51362173377384e-15,1.45210033427206e-13,9.51859915432647e-14,"Fcer1g/Psmb8/Fcgr1/Psme1/H2-Q4/Clec4a3/H2-Q7/Psme2/Psmb9/H2-T22/Fgl2/H2-T23/Clec4a2/H2-Q6/Thbs1/Cd74",16
"GO:0060326","BP","GO:0060326","cell chemotaxis","22/210","314/28943",1.6021228462619e-15,1.48897292024465e-13,9.7603010239376e-14,"Ccl5/Fcer1g/Aif1/Il1b/Sell/Lyn/Stap1/Cxcl10/Hmgb2/Met/Ccl3/Slamf9/Rac2/Ccrl2/Ptpro/Thbs1/Ccl4/Cd74/Cxcl2/Cxcl9/Ccl12/Saa3",22
"GO:0002708","BP","GO:0002708","positive regulation of lymphocyte mediated immunity","17/210","160/28943",3.07679763702316e-15,2.77284732500208e-13,1.81761697727811e-13,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/H2-Q4/H2-Q7/Klrk1/Rsad2/H2-T22/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Malt1",17
"GO:0045069","BP","GO:0045069","regulation of viral genome replication","14/210","95/28943",8.82588459564576e-15,7.72005317277955e-13,5.06053816443837e-13,"Isg15/Ccl5/Ifitm3/Bst2/Isg20/Ifih1/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Tnf/Resf1",14
"GO:0019079","BP","GO:0019079","viral genome replication","15/210","130/28943",3.98741769635249e-14,3.38816577970066e-12,2.22096167628415e-12,"Isg15/Ccl5/Ifitm3/Bst2/Isg20/Ifih1/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Tnf/Resf1/Ccl12",15
"GO:0002833","BP","GO:0002833","positive regulation of response to biotic stimulus","17/210","187/28943",4.1885741671636e-14,3.46022765920682e-12,2.2681986425693e-12,"Irf7/Acod1/Ifi209/Zbp1/Cd274/Klrk1/Ifi214/Ifi205/Ifi204/Ifi211/Hmgb2/Nmi/Oasl1/Gbp5/Trim30d/Mndal/Cd74",17
"GO:0002822","BP","GO:0002822","regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","18/210","223/28943",5.80052595993486e-14,4.6623687040125e-12,3.05620884147919e-12,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/Jak2/Cd274/H2-Q4/H2-Q7/Rsad2/H2-T22/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Malt1",18
"GO:0002683","BP","GO:0002683","negative regulation of immune system process","24/210","465/28943",6.89912148096062e-14,5.39947033799391e-12,3.53938309771165e-12,"Lst1/Isg15/Fcer1g/Ptprc/Bst2/Slfn1/Acod1/Cd274/Irak3/Lyn/Stap1/Parp14/Ifi204/Nmi/Fgl2/Inpp4b/Oas3/Tnf/Thbs1/Samsn1/Cd86/Cd74/Tmem176b/Ccl12",24
"GO:0030595","BP","GO:0030595","leukocyte chemotaxis","18/210","228/28943",8.51064122789982e-14,6.48990949019848e-12,4.25417207937125e-12,"Ccl5/Fcer1g/Aif1/Il1b/Sell/Lyn/Stap1/Cxcl10/Ccl3/Slamf9/Rac2/Ptpro/Thbs1/Ccl4/Cd74/Cxcl2/Cxcl9/Ccl12",18
"GO:0097529","BP","GO:0097529","myeloid leukocyte migration","18/210","243/28943",2.54543901310099e-13,1.89253390624059e-11,1.2405665927008e-11,"Ccl5/Fcer1g/Aif1/Il1b/Sell/Lyn/Stap1/Cxcl10/Mmp14/Ccl3/Rac2/Ptpro/Thbs1/Ccl4/Cd74/Cxcl2/Cxcl9/Ccl12",18
"GO:0050729","BP","GO:0050729","positive regulation of inflammatory response","15/210","148/28943",2.76545367704061e-13,2.0059656671997e-11,1.31492174836437e-11,"C3/Ccl5/Fcer1g/Il1b/Fcgr1/Zbp1/Jak2/Stap1/Ptgs2/Tnip1/Nmi/Ccl3/Nupr1/Tnf/Nlrp3",15
"GO:0050727","BP","GO:0050727","regulation of inflammatory response","21/210","367/28943",3.81216660682165e-13,2.69937702111609e-11,1.7694567809107e-11,"C3/Ccl5/Fcer1g/Il1b/Acod1/Pik3ap1/Fcgr1/Zbp1/Jak2/Lyn/Aoah/Stap1/Ptgs2/Tnip1/Nmi/Ccl3/Nupr1/Tnf/Ptges/Nlrp3/Slc7a2",21
"GO:0071347","BP","GO:0071347","cellular response to interleukin-1","12/210","79/28943",5.18836963262299e-13,3.58842122963274e-11,2.35223024715246e-11,"Ccl5/Il1b/Acod1/Zbp1/Irak3/Cd40/Ccl3/Irak2/Il1rn/Ccl4/Ccl12/Saa3",12
"GO:0031663","BP","GO:0031663","lipopolysaccharide-mediated signaling pathway","11/210","61/28943",6.86347158559067e-13,4.63908283989697e-11,3.0409448269172e-11,"Ccl5/Il1b/Stat1/Acod1/Lyn/Trim30d/Tnf/Irak2/Cd14/Malt1/Ccl12",11
"GO:0019058","BP","GO:0019058","viral life cycle","18/210","261/28943",8.60370232325727e-13,5.68609126874825e-11,3.72726472577134e-11,"Isg15/Ccl5/Ifitm3/Bst2/Isg20/Ifih1/Ly6e/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Trim30d/Tnf/Resf1/Cd74/Ccl12",18
"GO:0050900","BP","GO:0050900","leukocyte migration","21/210","385/28943",9.56484849951977e-13,6.18388248642865e-11,4.05356966158138e-11,"Ccl5/Fcer1g/Aif1/Il1b/Sell/Itgal/Lyn/Stap1/Cxcl10/Mmp14/Ccl3/Tnf/Slamf9/Rac2/Ptpro/Thbs1/Ccl4/Cd74/Cxcl2/Cxcl9/Ccl12",21
"GO:0002706","BP","GO:0002706","regulation of lymphocyte mediated immunity","17/210","231/28943",1.3324863765808e-12,8.43152017861977e-11,5.52690877811341e-11,"C3/Fcer1g/Il1b/Ptprc/Fcgr1/H2-Q4/H2-Q7/Klrk1/Rsad2/H2-T22/H2-T23/Cd40/H2-Q6/Tnf/Pnp/Nlrp3/Malt1",17
"GO:0016032","BP","GO:0016032","viral process","20/210","355/28943",1.89017737763027e-12,1.16669171392108e-10,7.6477296364345e-11,"Isg15/Ccl5/Ifitm3/Bst2/Stat1/Isg20/Zbp1/Ifih1/Ly6e/Ifi204/Rsad2/N4bp1/Oas3/Oasl1/Slpi/Trim30d/Tnf/Resf1/Cd74/Ccl12",20
"GO:0002526","BP","GO:0002526","acute inflammatory response","13/210","112/28943",1.92225601822908e-12,1.16669171392108e-10,7.6477296364345e-11,"C3/Ccl5/Fcer1g/Il1b/Fcgr1/Hp/Ptgs2/Nupr1/Tnf/Ptges/Nlrp3/Il1rn/Saa3",13
"GO:0045089","BP","GO:0045089","positive regulation of innate immune response","14/210","142/28943",2.56925526280196e-12,1.52819303031461e-10,1.00173910457036e-10,"Irf7/Ifi209/Zbp1/Klrk1/Ifi214/Ifi205/Ifi204/Ifi211/Hmgb2/Nmi/Gbp5/Trim30d/Mndal/Cd74",14
"GO:0050766","BP","GO:0050766","positive regulation of phagocytosis","12/210","91/28943",2.96258351014313e-12,1.72759281552268e-10,1.13244678241178e-10,"C3/Fcer1g/Il1b/Ptprc/Sirpb1c/Fcgr1/Cfb/Sirpb1a/Stap1/Gm5150/Tnf/Il15",12
"GO:1903037","BP","GO:1903037","regulation of leukocyte cell-cell adhesion","20/210","371/28943",4.22615337883355e-12,2.41703464397134e-10,1.58437976874489e-10,"Ccl5/Aif1/Il1b/Ptprc/Ass1/Slfn1/Sirpb1c/Jak2/Cd274/Itgal/Sirpb1a/Gm5150/Fgl2/Tnf/Pnp/Nlrp3/Malt1/Cd86/Cd74/Il15",20
"GO:0070555","BP","GO:0070555","response to interleukin-1","12/210","96/28943",5.68282441109166e-12,3.18881505633709e-10,2.09028615875705e-10,"Ccl5/Il1b/Acod1/Zbp1/Irak3/Cd40/Ccl3/Irak2/Il1rn/Ccl4/Ccl12/Saa3",12
"GO:0050764","BP","GO:0050764","regulation of phagocytosis","13/210","123/28943",6.48015809834375e-12,3.56888707119895e-10,2.33942549671201e-10,"C3/Fcer1g/Il1b/Ptprc/Hck/Sirpb1c/Fcgr1/Cfb/Sirpb1a/Stap1/Gm5150/Tnf/Il15",13
"GO:0002460","BP","GO:0002460","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","22/210","486/28943",1.0624488867374e-11,5.7449508893764e-10,3.76584753729696e-10,"C3/Fcer1g/Il1b/Ptprc/Irf7/Fcgr1/Jak2/Cd274/H2-Q4/H2-Q7/Rsad2/H2-T22/Fgl2/H2-T23/Cd40/H2-Q6/Tnf/Pou2f2/Pnp/Nlrp3/Malt1/Cd74",22
"GO:0032611","BP","GO:0032611","interleukin-1 beta production","12/210","102/28943",1.18321441710479e-11,6.23953192562207e-10,4.09004818116733e-10,"Il1b/Jak2/Ifi205/Ifi204/Ifi211/Gbp5/Ccl3/Tnf/Slamf9/Mndal/Nlrp3/Malt1",12
"GO:0071621","BP","GO:0071621","granulocyte chemotaxis","13/210","129/28943",1.19587531862965e-11,6.23953192562207e-10,4.09004818116733e-10,"Ccl5/Fcer1g/Il1b/Sell/Cxcl10/Ccl3/Rac2/Thbs1/Ccl4/Cd74/Cxcl2/Cxcl9/Ccl12",13
"GO:0030593","BP","GO:0030593","neutrophil chemotaxis","12/210","103/28943",1.33078772089863e-11,6.8237287619871e-10,4.47299248476272e-10,"Ccl5/Fcer1g/Il1b/Sell/Cxcl10/Ccl3/Rac2/Ccl4/Cd74/Cxcl2/Cxcl9/Ccl12",12
"GO:0022407","BP","GO:0022407","regulation of cell-cell adhesion","22/210","497/28943",1.63977521408345e-11,8.18174040635031e-10,5.36317673612033e-10,"Ccl5/Aif1/Il1b/Ptprc/Ass1/Slfn1/Sirpb1c/Jak2/Cd274/Itgal/Sirpb1a/Lyn/Gm5150/Fgl2/Tnf/Pnp/Nlrp3/Il1rn/Malt1/Cd86/Cd74/Il15",22
"GO:0071706","BP","GO:0071706","tumor necrosis factor superfamily cytokine production","15/210","196/28943",1.65761380453863e-11,8.18174040635031e-10,5.36317673612033e-10,"Fcer1g/Ptprc/Jak2/Cd274/Clec4a3/Irak3/Ifih1/Rigi/Oas3/Ccl3/Clec4a2/Slamf9/Thbs1/Ccl4/Cd14",15
"GO:0002253","BP","GO:0002253","activation of immune response","21/210","448/28943",1.67816464286271e-11,8.18174040635031e-10,5.36317673612033e-10,"C3/Fcer1g/Il1b/Ptprc/Fpr2/Fyb/Fpr1/Ifi209/Bcl2a1d/Zbp1/Cfb/Klrk1/Lyn/Ifi214/Stap1/Ifi205/Ifi204/Ifi211/Trim30d/Mndal/Malt1",21
"GO:1903039","BP","GO:1903039","positive regulation of leukocyte cell-cell adhesion","17/210","272/28943",1.81298989974123e-11,8.69650316424262e-10,5.70060661175002e-10,"Ccl5/Aif1/Il1b/Ptprc/Sirpb1c/Jak2/Cd274/Itgal/Sirpb1a/Gm5150/Tnf/Pnp/Nlrp3/Malt1/Cd86/Cd74/Il15",17
"GO:0002711","BP","GO:0002711","positive regulation of T cell mediated immunity","11/210","82/28943",2.01298315270824e-11,9.50255856532429e-10,6.22898044914897e-10,"Il1b/Ptprc/H2-Q4/H2-Q7/Rsad2/H2-T22/H2-T23/H2-Q6/Pnp/Nlrp3/Malt1",11
"GO:0032731","BP","GO:0032731","positive regulation of interleukin-1 beta production","10/210","62/28943",2.52426443085136e-11,1.16585555680179e-09,7.64224857960897e-10,"Jak2/Ifi205/Ifi204/Ifi211/Gbp5/Ccl3/Tnf/Mndal/Nlrp3/Malt1",10
"GO:0070665","BP","GO:0070665","positive regulation of leukocyte proliferation","14/210","168/28943",2.54810394055537e-11,1.16585555680179e-09,7.64224857960897e-10,"Ccl5/Aif1/Il1b/Ptprc/Jak2/Cd274/Itgal/Lyn/Cd40/Pnp/Rac2/Cd86/Cd74/Il15",14
"GO:0070663","BP","GO:0070663","regulation of leukocyte proliferation","17/210","280/28943",2.86316724332562e-11,1.29016051237127e-09,8.45707453690439e-10,"Lst1/Ccl5/Aif1/Il1b/Ptprc/Slfn1/Jak2/Cd274/Itgal/Lyn/Cd40/Pnp/Rac2/Cd86/Cd74/Il15/Ccl12",17
"GO:0050870","BP","GO:0050870","positive regulation of T cell activation","16/210","246/28943",4.00710230187652e-11,1.77867496205683e-09,1.16593141603697e-09,"Ccl5/Aif1/Il1b/Ptprc/Sirpb1c/Jak2/Cd274/Itgal/Sirpb1a/Gm5150/Pnp/Nlrp3/Malt1/Cd86/Cd74/Il15",16
"GO:0050863","BP","GO:0050863","regulation of T cell activation","19/210","378/28943",4.94804119646329e-11,2.16404037033556e-09,1.41854060307276e-09,"Ccl5/Aif1/Il1b/Ptprc/Slfn1/Sirpb1c/Jak2/Cd274/Itgal/Sirpb1a/Gm5150/Fgl2/Pnp/Rac2/Nlrp3/Malt1/Cd86/Cd74/Il15",19
"GO:0050670","BP","GO:0050670","regulation of lymphocyte proliferation","16/210","253/28943",6.09010547301753e-11,2.62492372126872e-09,1.72065222517597e-09,"Lst1/Ccl5/Aif1/Il1b/Ptprc/Slfn1/Jak2/Cd274/Itgal/Lyn/Cd40/Pnp/Rac2/Cd86/Cd74/Il15",16
"GO:0060759","BP","GO:0060759","regulation of response to cytokine stimulus","13/210","147/28943",6.30695753859536e-11,2.67955595996894e-09,1.75646396413212e-09,"Isg15/Ptprc/Irf7/Zbp1/Irak3/Ifih1/Stap1/Parp14/Rigi/Oas3/Irak2/Il1rn/Cd74",13
"GO:0070661","BP","GO:0070661","leukocyte proliferation","19/210","384/28943",6.47242128551028e-11,2.71112407086022e-09,1.7771570379192e-09,"Lst1/Ccl5/Aif1/Il1b/Ptprc/Slfn1/Cfb/Jak2/Cd274/Itgal/Lyn/Cd40/Pnp/Rac2/Malt1/Cd86/Cd74/Il15/Ccl12",19
"GO:0002449","BP","GO:0002449","lymphocyte mediated immunity","21/210","483/28943",6.76390546521582e-11,2.79386872965998e-09,1.83139662596194e-09,"C3/Fcer1g/Il1b/Ptprc/Irf7/Fcgr1/H2-Q4/H2-Q7/Klrk1/Rsad2/H2-T22/Fgl2/H2-T23/Cd40/H2-Q6/Tnf/Pou2f2/Pnp/Nlrp3/Malt1/Cd74",21
"GO:0032944","BP","GO:0032944","regulation of mononuclear cell proliferation","16/210","258/28943",8.14694938002153e-11,3.28567164620038e-09,2.1537761967802e-09,"Lst1/Ccl5/Aif1/Il1b/Ptprc/Slfn1/Jak2/Cd274/Itgal/Lyn/Cd40/Pnp/Rac2/Cd86/Cd74/Il15",16
"GO:2001057","BP","GO:2001057","reactive nitrogen species metabolic process","11/210","93/28943",8.17551115732441e-11,3.28567164620038e-09,2.1537761967802e-09,"Aif1/Il1b/Sod2/Ass1/Prdx5/Jak2/Klrk1/Ptgs2/Nos2/Tnf/Slc7a2",11
"GO:0046651","BP","GO:0046651","lymphocyte proliferation","18/210","344/28943",8.48973180577909e-11,3.3664616520516e-09,2.20673449884953e-09,"Lst1/Ccl5/Aif1/Il1b/Ptprc/Slfn1/Cfb/Jak2/Cd274/Itgal/Lyn/Cd40/Pnp/Rac2/Malt1/Cd86/Cd74/Il15",18
