"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0150146","GO:0150146","cell junction disassembly","5/150","21/28943",6.65470686275414e-08,7.37424280075739e-06,4.6487747156741e-06,"Trem2/Dusp3/C1qc/C1qa/C1qb",5
"GO:0050885","GO:0050885","neuromuscular process controlling balance","7/150","70/28943",7.95727363918273e-08,8.10050456468802e-06,5.1066152582685e-06,"Psap/Hexa/Cacna1a/Aplp2/Tpp1/Myo5a/Hexb",7
"GO:0042060","GO:0042060","wound healing","13/150","380/28943",1.01684708188099e-07,9.7045343377017e-06,6.11780694986951e-06,"Gas6/Pf4/Cfh/Ahnak/Igf1/Cd36/Apoe/F13a1/Fn1/Gpx1/Hmox1/Pdpn/Mmp12",13
"GO:1903076","GO:1903076","regulation of protein localization to plasma membrane","8/150","114/28943",1.49275628581878e-07,1.3408463814384e-05,8.45279023765497e-06,"Dab2/Trem2/Myo5a/Lrp1/Cltc/Ap2m1/Sptbn1/Lgals3",8
"GO:0006898","GO:0006898","receptor-mediated endocytosis","11/150","274/28943",2.08679322266456e-07,1.67712276368883e-05,1.05727002887908e-05,"Mrc1/Cd63/Dab2/Cd36/Ctsl/Lrp1/Ap2a2/Cltc/Ap2m1/Trf/Apoe",11
"GO:0006979","GO:0006979","response to oxidative stress","13/150","407/28943",2.23372569305414e-07,1.74917904271471e-05,1.10269481581539e-05,"Psap/COX1/ND1/Idh1/Trem2/Aldh2/ND3/Cd36/Rhob/Apoe/Gpx1/Hmox1/Prdx1",13
"GO:0045807","GO:0045807","positive regulation of endocytosis","8/150","127/28943",3.43530882949153e-07,2.3844166284698e-05,1.50315307395694e-05,"Cd63/Dab2/Trem2/Cd36/Lrp1/Ap2m1/Trf/Apoe",8
"GO:1902600","GO:1902600","proton transmembrane transport","7/150","90/28943",4.54880191453312e-07,2.6652139446846e-05,1.68016968422022e-05,"COX1/ND4/Myo5a/Atp6v0a1/Atp6v1a/CYTB/ND5",7
"GO:0070997","GO:0070997","neuron death","13/150","450/28943",6.94477047726689e-07,3.59480153179205e-05,2.26618826100288e-05,"Nrp1/Cacna1a/Trem2/Igf1/Lrp1/Lgmn/Mt1/Grn/C1qa/Apoe/Gpx1/Hmox1/Gpnmb",13
"GO:0032103","GO:0032103","positive regulation of response to external stimulus","13/150","459/28943",8.66345658283904e-07,4.03414658615732e-05,2.54315448456958e-05,"Nrp1/Gas6/Lamp1/Trem2/Fcgr3/Lrp1/Lgmn/Grn/Lpl/Sash1/Fn1/Cadm1/Mmp12",13
"GO:2001237","GO:2001237","negative regulation of extrinsic apoptotic signaling pathway","7/150","99/28943",8.71819497990776e-07,4.03414658615732e-05,2.54315448456958e-05,"Dab2/Nrp1/Igf1/Lmna/Gpx1/Hmox1/Lgals3",7
"GO:0034350","GO:0034350","regulation of glial cell apoptotic process","4/150","15/28943",9.04895395680212e-07,4.0640449094226e-05,2.56200259860543e-05,"Gas6/Pmp22/Trem2/Igf1",4
"GO:0002683","GO:0002683","negative regulation of immune system process","13/150","465/28943",1.00108103723451e-06,4.36757355387742e-05,2.7533491986495e-05,"Trem2/Laptm5/Dusp3/Igf1/Cd84/Grn/C1qc/Mafb/Gpx1/Hmox1/Gpnmb/Lgals3/Mmp12",13
"GO:0097242","GO:0097242","amyloid-beta clearance","5/150","36/28943",1.15802250805479e-06,4.77919018864776e-05,3.01283523077129e-05,"Trem2/Cd36/Lrp1/Cltc/Apoe",5
"GO:0090132","GO:0090132","epithelium migration","11/150","330/28943",1.3054388645008e-06,5.17767570413696e-05,3.26404331260693e-05,"Cd63/Nrp1/Glul/Igf1/Lgmn/Grn/Sash1/Rhob/Apoe/Gpx1/Hmox1",11
"GO:0097006","GO:0097006","regulation of plasma lipoprotein particle levels","6/150","68/28943",1.47192722928752e-06,5.61908219780511e-05,3.54230908206168e-05,"Abca1/Trem2/Cd36/Pltp/Lpl/Apoe",6
"GO:0048143","GO:0048143","astrocyte activation","4/150","17/28943",1.56507662825498e-06,5.90091854653172e-05,3.71998070575484e-05,"Trem2/Lrp1/Grn/C1qa",4
"GO:0150076","GO:0150076","neuroinflammatory response","6/150","70/28943",1.7482939545874e-06,6.43287920157823e-05,4.05533245775569e-05,"Trem2/Igf1/Myo5a/Lrp1/Grn/C1qa",6
"GO:1905146","GO:1905146","lysosomal protein catabolic process","4/150","18/28943",2.00413471812707e-06,7.11700863855822e-05,4.48661248403233e-05,"Psap/Tpp1/Lrp1/Grn",4
"GO:0030003","GO:0030003","cellular cation homeostasis","13/150","498/28943",2.13372631008143e-06,7.49011511607894e-05,4.72182144118442e-05,"Aplp2/Slc9a9/Myo5a/Atp6v0a1/Mt1/Grn/Atp6v1a/Trf/Apoe/Hmox1/Spp1/Ccl8/Hexb",13
"GO:0050866","GO:0050866","negative regulation of cell activation","9/150","225/28943",2.83844352336627e-06,9.74000732624786e-05,6.14016937224945e-05,"Trem2/Laptm5/Dusp3/Cd84/Grn/Apoe/Hmox1/Gpnmb/Lgals3",9
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","12/150","442/28943",3.58167025400085e-06,0.000117617429631383,7.41468578898422e-05,"Dab2/Mtss1/Glul/Ednrb/Igf1/Ctsl/Grn/Ecm1/Apoe/Gpx1/Hmox1/Mmp12",12
"GO:0007596","GO:0007596","blood coagulation","8/150","177/28943",4.1952565132316e-06,0.000132085705066075,8.32677608540488e-05,"Gas6/Pf4/Cfh/Cd36/Apoe/F13a1/Fn1/Pdpn",8
"GO:0042445","GO:0042445","hormone metabolic process","9/150","239/28943",4.64054397333136e-06,0.000143618106011598,9.05378678162246e-05,"Ctsb/Dab2/Dhrs3/Cacna1a/Ednrb/Igf1/Ctsl/Spp1/Ctsk",9
"GO:0150104","GO:0150104","transport across blood-brain barrier","4/150","22/28943",4.71421805629836e-06,0.000143618106011598,9.05378678162246e-05,"Cd36/Lrp1/Fabp5/Apoe",4
"GO:0007599","GO:0007599","hemostasis","8/150","180/28943",4.74964921649357e-06,0.000143618106011598,9.05378678162246e-05,"Gas6/Pf4/Cfh/Cd36/Apoe/F13a1/Fn1/Pdpn",8
"GO:0050817","GO:0050817","coagulation","8/150","180/28943",4.74964921649357e-06,0.000143618106011598,9.05378678162246e-05,"Gas6/Pf4/Cfh/Cd36/Apoe/F13a1/Fn1/Pdpn",8
"GO:0045765","GO:0045765","regulation of angiogenesis","10/150","308/28943",5.06727698096395e-06,0.000150247222328776,9.47169095368734e-05,"Nrp1/Glul/Cd36/Grn/Ecm1/Stab1/Sash1/Rhob/Hmox1/Lgals3",10
"GO:0032680","GO:0032680","regulation of tumor necrosis factor production","8/150","186/28943",6.04629472293226e-06,0.000170975778554029,0.000107784337702174,"Gas6/Trem2/Fcgr3/Igf1/Cd36/Cd84/Lpl/Gpnmb",8
"GO:0030574","GO:0030574","collagen catabolic process","5/150","50/28943",6.13922695025769e-06,0.0001715468400085,0.000108144338874141,"Ctsb/Ctsl/Adam15/Ctsk/Mmp12",5
"GO:0007040","GO:0007040","lysosome organization","6/150","87/28943",6.26349153774272e-06,0.0001715468400085,0.000108144338874141,"Hexa/Abca1/Laptm5/Tpp1/Grn/Hexb",6
"GO:0080171","GO:0080171","lytic vacuole organization","6/150","87/28943",6.26349153774272e-06,0.0001715468400085,0.000108144338874141,"Hexa/Abca1/Laptm5/Tpp1/Grn/Hexb",6
"GO:0009306","GO:0009306","protein secretion","11/150","404/28943",8.99776322366078e-06,0.000227696388520459,0.000143541410610388,"Psap/Ap1b1/Abca1/Glul/Rab11fip5/Trem2/Ednrb/Igf1/Myo5a/Lrp1/Apoe",11
"GO:0035592","GO:0035592","establishment of protein localization to extracellular region","11/150","405/28943",9.20829713593477e-06,0.000230509339779875,0.000145314714940679,"Psap/Ap1b1/Abca1/Glul/Rab11fip5/Trem2/Ednrb/Igf1/Myo5a/Lrp1/Apoe",11
"GO:0016042","GO:0016042","lipid catabolic process","10/150","338/28943",1.14003142144605e-05,0.000271110174427349,0.000170909767699866,"Psap/Hexa/Idh1/Lipa/Lrp1/Nceh1/Lpl/Apoe/Spp1/Hexb",10
"GO:0048771","GO:0048771","tissue remodeling","8/150","203/28943",1.14516085465383e-05,0.000271110174427349,0.000170909767699866,"Lipa/Igf1/Tpp1/Lrp1/Trf/Spp1/Gpnmb/Ctsk",8
"GO:0006959","GO:0006959","humoral immune response","11/150","425/28943",1.44211030869223e-05,0.00033365188505652,0.000210336503556466,"Pf4/Trem2/Wfdc17/Cfh/C1qc/Trf/C1qa/C1qb/Cd5l/Ccl8/Lgals3",11
"GO:0043254","GO:0043254","regulation of protein-containing complex assembly","11/150","425/28943",1.44211030869223e-05,0.00033365188505652,0.000210336503556466,"Eps8/Abca1/Gda/Trem2/Cd36/Cotl1/Stxbp6/Sptbn1/Apoe/Tppp3/Lgals3",11
"GO:1901136","GO:1901136","carbohydrate derivative catabolic process","7/150","156/28943",1.7825191438086e-05,0.000394720247837249,0.000248834430529186,"Psap/Hexa/Gda/Gns/Ctsl/Hexb/Mmp12",7
"GO:0070098","GO:0070098","chemokine-mediated signaling pathway","5/150","63/28943",1.92932099268061e-05,0.000417882717138057,0.000263436214678077,"Ccl6/Pf4/Trem2/Ccl9/Ccl8",5
"GO:0052547","GO:0052547","regulation of peptidase activity","11/150","445/28943",2.20281572605224e-05,0.000454554001848889,0.000286554051418887,"Timp2/Ctsd/Serpinb6a/Ctsb/Gas6/Laptm5/Igf1/Lgmn/Grn/Ecm1/Gpx1",11
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","4/150","37/28943",4.00666693125225e-05,0.00073271621605056,0.000461909474772162,"Trem2/Cd36/Lpl/Apoe",4
"GO:0007041","GO:0007041","lysosomal transport","6/150","122/28943",4.32094754436738e-05,0.000776245517676351,0.00048935065378625,"Psap/Lamp1/Laptm5/Lrp1/Grn/Rhob",6
"GO:0003014","GO:0003014","renal system process","6/150","129/28943",5.9026610571642e-05,0.00101184555880167,0.000637874582789871,"Dab2/Psap/Gas6/Ednrb/Lgmn/Snx5",6
"GO:0048102","GO:0048102","autophagic cell death","3/150","15/28943",5.93059446710867e-05,0.00101184555880167,0.000637874582789871,"Lamp1/Trem2/Laptm5",3
"GO:0071827","GO:0071827","plasma lipoprotein particle organization","4/150","41/28943",6.04551434999123e-05,0.00102572226804851,0.000646622558253448,"Abca1/Pltp/Lpl/Apoe",4
"GO:0007568","GO:0007568","aging","5/150","81/28943",6.52561691511238e-05,0.00110106265517974,0.000694117670121579,"Pmp22/ND4/Gna12/C1qa/Apoe",5
"GO:0022604","GO:0022604","regulation of cell morphogenesis","9/150","338/28943",7.1249949677185e-05,0.00118316948759645,0.000745878396861377,"Dab2/Eps8/Nrp1/St6gal1/Gna12/Rhob/Fn1/Pdpn/Hexb",9
"GO:0009749","GO:0009749","response to glucose","7/150","194/28943",7.15362939383687e-05,0.00118316948759645,0.000745878396861377,"Gas6/Rasal2/Glul/Rab11fip5/Igf1/Lrp1/Gpx1",7
"GO:0051047","GO:0051047","positive regulation of secretion","10/150","420/28943",7.16720220056791e-05,0.00118316948759645,0.000745878396861377,"Dab2/Lamp1/Glul/Trem2/Ednrb/Igf1/Lrp1/Snx5/Spp1/Lgals3",10
"GO:0062197","GO:0062197","cellular response to chemical stress","9/150","340/28943",7.45294398307781e-05,0.00120430110710686,0.000759199918966823,"Serpinb6a/Psap/Trem2/Aldh2/Cd36/Rhob/Gpx1/Hmox1/Prdx1",9
"GO:1903510","GO:1903510","mucopolysaccharide metabolic process","5/150","84/28943",7.76548428712381e-05,0.00124166434622388,0.000782753968649736,"Hexa/Ednrb/Gns/Cltc/Hexb",5
"GO:0048268","GO:0048268","clathrin coat assembly","3/150","17/28943",8.79609562720656e-05,0.00133648139529795,0.000842527305690537,"Dab2/Ap1b1/Cltc",3
"GO:0044403","GO:0044403","biological process involved in symbiotic interaction","8/150","272/28943",9.13806594587472e-05,0.00137476125116756,0.000866659197044587,"Ctsb/Nrp1/Gas6/Ctsl/Apoe/Fn1/Gpx1/Ccl8",8
"GO:0001906","GO:0001906","cell killing","8/150","273/28943",9.37319324308471e-05,0.00138959864875635,0.000876012797220334,"Lamp1/Fcgr3/Cfh/Cd5l/Cadm1/Prdx1/Ccl8/Lgals3",8
"GO:0021700","GO:0021700","developmental maturation","9/150","355/28943",0.000103419914853861,0.00152581845393087,0.00096188672396497,"Cd63/Cacna1a/Pmp22/Ednrb/Igf1/Ctsl/Myo5a/Fam20c/C1qa",9
"GO:1900221","GO:1900221","regulation of amyloid-beta clearance","3/150","18/28943",0.000105152320582853,0.00153653199550255,0.000968640616197625,"Trem2/Lrp1/Apoe",3
"GO:0040013","GO:0040013","negative regulation of locomotion","9/150","360/28943",0.000114924957215128,0.00164779727387325,0.0010387830330935,"Cd63/Nrp1/St6gal1/Dusp3/Lrp1/Adam15/Gna12/Rhob/Apoe",9
"GO:0006590","GO:0006590","thyroid hormone generation","3/150","19/28943",0.000124394315998681,0.00175879741231469,0.00110875830390637,"Ctsb/Ctsl/Ctsk",3
"GO:0002831","GO:0002831","regulation of response to biotic stimulus","9/150","371/28943",0.000144051072088099,0.00199969079162297,0.00126061919066571,"Lamp1/Trem2/Cfh/Cd84/Grn/Sash1/Apoe/Cadm1/Mmp12",9
"GO:0045773","GO:0045773","positive regulation of axon extension","4/150","52/28943",0.0001546241287067,0.0021175878433644,0.00133494232430755,"Nrp1/Lrp1/Apoe/Fn1",4
"GO:0042593","GO:0042593","glucose homeostasis","8/150","294/28943",0.000155979411963734,0.00212661216132697,0.00134063131805295,"Gas6/Cacna1a/Rab11fip5/Igf1/Cd36/Lrp1/Fabp5/Gpx1",8
"GO:0046697","GO:0046697","decidualization","3/150","21/28943",0.000169443793330584,0.00224991889057219,0.00141836475057958,"Ctsb/Ctsl/Tppp3",3
"GO:0007617","GO:0007617","mating behavior","4/150","54/28943",0.000179181280339588,0.0023385454280218,0.00147423554539409,"Aplp2/Ednrb/Grn/Hexb",4
"GO:0010823","GO:0010823","negative regulation of mitochondrion organization","4/150","55/28943",0.000192460430717496,0.00246098016340794,0.00155141926683663,"Vat1/Igf1/Lmna/Gpx1",4
"GO:0032496","GO:0032496","response to lipopolysaccharide","9/150","386/28943",0.000193499695252185,0.00246098016340794,0.00155141926683663,"Mrc1/Pf4/Abca1/Trem2/Ednrb/Cfh/Cd36/Cd84/Sash1",9
"GO:0071222","GO:0071222","cellular response to lipopolysaccharide","8/150","304/28943",0.000195814728129708,0.00246098016340794,0.00155141926683663,"Mrc1/Pf4/Abca1/Trem2/Cfh/Cd36/Cd84/Sash1",8
"GO:0031667","GO:0031667","response to nutrient levels","9/150","387/28943",0.000197244664030896,0.00246879181946867,0.00155634378995905,"Gas6/Rasal2/Glul/Cfh/Plin2/Lpl/Rnase4/Apoe/Spp1",9
"GO:0007009","GO:0007009","plasma membrane organization","6/150","161/28943",0.000199479143432073,0.00247646058553476,0.0015611782342202,"Mtss1/Psap/Folr2/Ahnak/Sptbn1/Mafb",6
"GO:0098754","GO:0098754","detoxification","4/150","58/28943",0.000236553752406358,0.00284423291279141,0.00179302450539258,"Aldh2/Cd36/Mt1/Prdx1",4
"GO:1990000","GO:1990000","amyloid fibril formation","3/150","24/28943",0.000254937261268442,0.00298305898817557,0.00188054144327478,"Trem2/Cd36/Apoe",3
"GO:0060760","GO:0060760","positive regulation of response to cytokine stimulus","4/150","61/28943",0.000287481707218459,0.00320506873986811,0.00202049795788742,"Gas6/Trem2/Laptm5/Mmp12",4
"GO:0071346","GO:0071346","cellular response to interferon-gamma","5/150","112/28943",0.000300452149351194,0.00331256629645685,0.00208826517637596,"Mrc1/Ccl6/Rab11fip5/Ccl9/Ccl8",5
"GO:0031214","GO:0031214","biomineral tissue development","6/150","179/28943",0.000352505723875734,0.00379067774900173,0.0023896700110034,"Mtss1/Gas6/Igf1/Fam20c/Ecm1/Spp1",6
"GO:0006887","GO:0006887","exocytosis","9/150","422/28943",0.000372011063465515,0.00389082804049207,0.00245280546171027,"Lamp1/Cacna1a/Rab11fip5/Syngr1/Myo5a/Cd84/Stxbp6/Hmox1/Ccl8",9
"GO:0071216","GO:0071216","cellular response to biotic stimulus","8/150","340/28943",0.000414301425950628,0.0042601904203812,0.00268565411328619,"Mrc1/Pf4/Abca1/Trem2/Cfh/Cd36/Cd84/Sash1",8
"GO:0061082","GO:0061082","myeloid leukocyte cytokine production","4/150","68/28943",0.000436217099649679,0.00444069007443373,0.00279944236933075,"Gas6/Laptm5/Cd36/Hmox1",4
"GO:0110148","GO:0110148","biomineralization","6/150","188/28943",0.000457365177257208,0.00454981515095606,0.00286823558787393,"Mtss1/Gas6/Igf1/Fam20c/Ecm1/Spp1",6
"GO:0044703","GO:0044703","multi-organism reproductive process","6/150","190/28943",0.000483662336212965,0.00473431017562306,0.00298454255375679,"Ctsb/Pmp22/Ctsl/Grn/Tppp3/Mmp12",6
"GO:0050730","GO:0050730","regulation of peptidyl-tyrosine phosphorylation","7/150","268/28943",0.000515518330626894,0.00490465103344091,0.00309192663294504,"Nrp1/Gas6/Pdgfc/Aplp2/Trem2/Igf1/Cd36",7
"GO:0042886","GO:0042886","amide transport","8/150","353/28943",0.000530403122470166,0.00501501899697798,0.00316150337623573,"Psap/Abca1/Glul/Rab11fip5/Folr2/Myo5a/Lrp1/Pltp",8
"GO:0042176","GO:0042176","regulation of protein catabolic process","8/150","355/28943",0.000550398755095689,0.00511783553034299,0.00322631964464114,"Timp2/Dab2/Trem2/Lrp1/Gna12/Ctsa/Apoe/Gpx1",8
"GO:0002274","GO:0002274","myeloid leukocyte activation","7/150","272/28943",0.000562802669130618,0.00520848288340881,0.00328346437588485,"Trem2/Fcgr3/Cd84/Grn/C1qa/Fn1/Hmox1",7
"GO:0006816","GO:0006816","calcium ion transport","9/150","449/28943",0.000580966382734679,0.00534419076166178,0.00336901558028449,"Gas6/Cacna1a/Ednrb/Ahnak/Igf1/Myo5a/Cd84/Ccl8/Lgals3",9
"GO:0006631","GO:0006631","fatty acid metabolic process","9/150","453/28943",0.000618824307244498,0.00555849833624911,0.00350411658808107,"Ltc4s/Lipa/Cd36/Myo5a/Lpl/Tbxas1/Fabp5/Gpx1/Pdpn",9
"GO:0051346","GO:0051346","negative regulation of hydrolase activity","8/150","366/28943",0.000671580983809165,0.00594495166537156,0.00374773949469706,"Timp2/Serpinb6a/Ctsb/Gas6/Igf1/Grn/Ecm1/Gpx1",8
"GO:0062012","GO:0062012","regulation of small molecule metabolic process","8/150","368/28943",0.000695765291004269,0.00614123467840184,0.00387147769165442,"Dab2/Cacna1a/Trem2/COX2/Igf1/Cd36/Fabp5/Apoe",8
"GO:0045453","GO:0045453","bone resorption","4/150","79/28943",0.000770126980597187,0.00660665112006688,0.00416487950181033,"Tpp1/Trf/Spp1/Ctsk",4
"GO:0006914","GO:0006914","autophagy","9/150","469/28943",0.000791031945120032,0.0066735125977806,0.00420702944932986,"Ctsd/Pmp22/Trem2/Myo5a/Atp6v0a1/Cd84/Cltc/Ctsa/Hmox1",9
"GO:0061919","GO:0061919","process utilizing autophagic mechanism","9/150","469/28943",0.000791031945120032,0.0066735125977806,0.00420702944932986,"Ctsd/Pmp22/Trem2/Myo5a/Atp6v0a1/Cd84/Cltc/Ctsa/Hmox1",9
"GO:0014902","GO:0014902","myotube differentiation","5/150","143/28943",0.000914777625583633,0.00764020038905948,0.00481643625670899,"Pmp22/Pld3/Igf1/Gpx1/Ccl8",5
"GO:0010720","GO:0010720","positive regulation of cell development","8/150","384/28943",0.000915623229337188,0.00764020038905948,0.00481643625670899,"Dab2/Nrp1/Igf1/Lrp1/Trf/Atxn1/Apoe/Fn1",8
"GO:0010038","GO:0010038","response to metal ion","7/150","296/28943",0.000923848244678173,0.00768782708241728,0.00484646046039403,"Lgmn/Crip1/Mt1/CYTB/Trf/Fn1/Hmox1",7
"GO:0002449","GO:0002449","lymphocyte mediated immunity","9/150","483/28943",0.000972066959392105,0.00801334007638476,0.00505166614955631,"Lamp1/Trem2/Fcgr3/Cfh/C1qc/C1qa/C1qb/Cadm1/Prdx1",9
"GO:0019216","GO:0019216","regulation of lipid metabolic process","8/150","388/28943",0.00097848178540409,0.00803301981888196,0.00506407239814398,"Dab2/Psap/Idh1/Trem2/Igf1/Cd36/Fabp5/Apoe",8
"GO:1903580","GO:1903580","positive regulation of ATP metabolic process","3/150","38/28943",0.00100762701537224,0.0081195063455061,0.00511859411502798,"Trem2/COX2/Igf1",3
"GO:0034103","GO:0034103","regulation of tissue remodeling","4/150","85/28943",0.00101323031732739,0.00813094367883501,0.00512580429069356,"Lrp1/Trf/Spp1/Gpnmb",4
"GO:0008037","GO:0008037","cell recognition","7/150","302/28943",0.00103775352761291,0.00823194616449309,0.00518947697061933,"Nrp1/Folr2/Trem2/Fcgr3/Cd36/Cadm1/Lgals3",7
"GO:0032885","GO:0032885","regulation of polysaccharide biosynthetic process","3/150","39/28943",0.00108747109149961,0.00858174861353956,0.00540999490372035,"Igf1/Cd36/Cltc",3
"GO:0032535","GO:0032535","regulation of cellular component size","8/150","398/28943",0.00115085338600132,0.0088976469963415,0.00560913947413525,"Eps8/Nrp1/Lrp1/Cotl1/Ap2m1/Sptbn1/Apoe/Fn1",8
"GO:0050931","GO:0050931","pigment cell differentiation","3/150","40/28943",0.00117120304274043,0.0088976469963415,0.00560913947413525,"Cd63/Ednrb/Myo5a",3
"GO:0008217","GO:0008217","regulation of blood pressure","6/150","226/28943",0.00119211375275837,0.00903403325291329,0.00569511833301569,"Gas6/Ednrb/Cd36/Snx5/Gna12/Hmox1",6
"GO:0031099","GO:0031099","regeneration","5/150","155/28943",0.00130977567816821,0.00970887116778084,0.00612054091816467,"Igf1/Lrp1/Grn/Gpx1/Hmox1",5
"GO:0048545","GO:0048545","response to steroid hormone","6/150","232/28943",0.00136265286479668,0.0100037063680025,0.00630640710959799,"Dab2/Idh1/ND3/Igf1/Fbxo32/Spp1",6
"GO:0002679","GO:0002679","respiratory burst involved in defense response","2/150","11/28943",0.00142311956376648,0.0102023641965794,0.00643164240703952,"Trem2/Grn",2
"GO:0007613","GO:0007613","memory","5/150","160/28943",0.00150689305716632,0.0105310100608374,0.00663882307974754,"Trem2/Igf1/Lgmn/Atxn1/Apoe",5
"GO:0032970","GO:0032970","regulation of actin filament-based process","8/150","416/28943",0.00152169690521273,0.0106101880103189,0.00668873741801028,"Mtss1/Eps8/Nrp1/Lrp1/Cotl1/Sptbn1/Rhob/Pdpn",8
"GO:0050918","GO:0050918","positive chemotaxis","3/150","44/28943",0.00154640471394881,0.010733454537272,0.00676644550672818,"Nrp1/Lrp1/Lgals3",3
"GO:0043301","GO:0043301","negative regulation of leukocyte degranulation","2/150","12/28943",0.00170194250042505,0.0114487497715817,0.00721737267163789,"Cd84/Hmox1",2
"GO:0043619","GO:0043619","regulation of transcription from RNA polymerase II promoter in response to oxidative stress","2/150","12/28943",0.00170194250042505,0.0114487497715817,0.00721737267163789,"Cd36/Hmox1",2
"GO:0002269","GO:0002269","leukocyte activation involved in inflammatory response","3/150","46/28943",0.00175910798834365,0.011653613441218,0.00734652017508972,"Trem2/Grn/C1qa",3
"GO:0042158","GO:0042158","lipoprotein biosynthetic process","4/150","102/28943",0.0019870529520593,0.0127010724986085,0.00800684575878227,"Abca1/Zdhhc14/Glul/Apoe",4
"GO:0032060","GO:0032060","bleb assembly","2/150","13/28943",0.00200455695623095,0.0127010724986085,0.00800684575878227,"Pmp22/Emp1",2
"GO:0060249","GO:0060249","anatomical structure homeostasis","7/150","346/28943",0.00224876575709738,0.0140157767799498,0.00883564461811195,"Cacna1a/Lipa/Tpp1/Trf/Spp1/Hexb/Ctsk",7
"GO:0036296","GO:0036296","response to increased oxygen levels","2/150","14/28943",0.0023307121598001,0.0142075747226138,0.00895655539505071,"Atp6v1a/Pdpn",2
"GO:0048680","GO:0048680","positive regulation of axon regeneration","2/150","14/28943",0.0023307121598001,0.0142075747226138,0.00895655539505071,"Lrp1/Grn",2
"GO:0060736","GO:0060736","prostate gland growth","2/150","14/28943",0.0023307121598001,0.0142075747226138,0.00895655539505071,"Psap/Igf1",2
"GO:0098917","GO:0098917","retrograde trans-synaptic signaling","2/150","14/28943",0.0023307121598001,0.0142075747226138,0.00895655539505071,"Fabp5/Cadm1",2
"GO:0035815","GO:0035815","positive regulation of renal sodium excretion","2/150","15/28943",0.00268015926981995,0.0155908693524383,0.00982859409423697,"Ednrb/Snx5",2
"GO:0048066","GO:0048066","developmental pigmentation","3/150","54/28943",0.00278885049984549,0.0158417925163681,0.00998677782802095,"Cd63/Ednrb/Myo5a",3
"GO:0071709","GO:0071709","membrane assembly","3/150","54/28943",0.00278885049984549,0.0158417925163681,0.00998677782802095,"Psap/Sptbn1/Mafb",3
"GO:0007015","GO:0007015","actin filament organization","8/150","460/28943",0.00283260341074032,0.016049667562896,0.0101178237247223,"Mtss1/Eps8/Nrp1/Myo5a/Cotl1/Trf/Sptbn1/Rhob",8
